,Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Provider Phone Number,Provider County Name,Number of Certified Beds,Average Number of Residents Per Day,Provider Type,Overall Rating,Health Inspection Rating,QM Rating,Staffing Rating,Reported Total Nurse Staffing Hours per Resident per Day,Reported Physical Therapist Staffing Hours per Resident Per Day,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Fines,Total Number of Penalties,Avg Hospital Stay,Treatment cost (in thousands $),Hospital readmission rates(in %),Patient wait time (mins),Patient satisfaction rate(out of 10),Patient safety(out of 10),ER wait time,Primary Care Provider(PCP)
0,365333,BOWLING GREEN MANOR,1021 W POE RD,BOWLING GREEN,OH,43402,4193524694,Wood,92,78,Medicare and Medicaid,4,3,5,3,3.45472,0.03404,40.667,0,4,0,0,3,20,32,32,4,6,4,No
1,315254,ALARIS HEALTH AT BOULEVARD EAST,6819 BOULEVARD EAST,GUTTENBERG,NJ,7093,2018683600,Hudson,108,96,Medicare and Medicaid,5,5,4,5,,0.05574,3.333,0,0,0,0,5,4,42,15,5,7,5,FP
2,325071,AZTEC HEALTHCARE,500 CARE LANE,AZTEC,NM,87410,5053349445,San Juan,88,75.7,Medicare and Medicaid,2,2,4,3,3.23398,0.12765,104,1,4,0,0,3,14,36,46,3,,2,FP
3,265873,UNION CARE CENTER,1080 MARIE LANE,UNION,MO,63084,6362068585,Franklin,60,49.9,Medicare and Medicaid,5,5,4,3,3.10734,0.02423,14.4,0,0,0,0,4,5,21,32,6,,4,GP
4,495309,PELICAN HEALTH NORFOLK,827 NORVIEW AVENUE,NORFOLK,VA,23509,7578536281,Norfolk City,60,49.3,Medicare and Medicaid,2,2,4,2,3.17798,,82.667,0,18,0,0,9,34,25,82,5,5,5,FP
5,515181,OHIO VALLEY HEALTH CARE,222 NICOLETTE ROAD,PARKERSBURG,WV,26104,3044855137,Wood,66,61.5,Medicare and Medicaid,4,3,3,4,3.51293,0.02506,68,0,1,1,1,8,26,22,120,5,,5,PD
6,676108,VIDOR HEALTH & REHABILITATION CENTER,470 MOORE DR,VIDOR,TX,77662,4097692454,Orange,144,91,Medicare and Medicaid,2,2,2,2,3.72184,0.05241,,2,0,0,0,5,12,24,35,5,8,2,No
7,505465,JOSEPHINE CARING COMMUNITY,9901 272ND PLACE NORTHWEST,STANWOOD,WA,98292,3606292126,Snohomish,160,140.3,Medicare and Medicaid,4,3,5,3,4.30574,,118,2,6,1,1,6,2,23,16,9,2,3,FP
8,375122,GRACE SKILLED AND NURSING THERAPY NORMAN,201 48TH AVENUE SOUTHWEST,NORMAN,OK,73072,4053668800,Cleveland,136,111.1,Medicare and Medicaid,4,4,4,2,3.60478,0.04685,30,0,0,1,2,1,3,26,75,6,5,5,No
9,495369,THE CONVALESCENT CENTER AT PATRIOTS COLONY,6000 PATRIOTS COLONY DRIVE,WILLIAMSBURG,VA,23188,7572209000,James City,60,46.7,Medicare,3,3,4,3,4.1293,0.3834,51.333,0,1,0,0,2,4,12,32,7,9,4,PD
10,335590,PONTIAC NURSING HOME,303 EAST RIVER ROAD,OSWEGO,NY,13126,3153431800,Oswego,80,50.7,Medicare and Medicaid,1,1,2,2,2.91787,0.10166,133.833,0,3,1,1,6,8,42,45,5,,5,FP
11,345195,EDGECOMBE HEALTH AND REHAB CENTER,1000 WESTERN BOULEVARD,TARBORO,NC,27886,2528230401,Edgecombe,159,133.6,Medicare and Medicaid,3,3,3,3,3.43289,0.10456,16.667,0,1,1,1,8,3,36,62,4,,2,PD
12,505024,FRANKLIN HILLS HEALTH & REHAB CENTER,6021 NORTH LIDGERWOOD,SPOKANE,WA,99207,5094893323,Spokane,100,70.9,Medicare and Medicaid,1,1,3,3,3.57213,0.09108,302,27,33,5,5,5,6,21,53,8,,3,FP
13,505513,STAFFORD HEALTHCARE,"2800 SOUTH 224TH STREET,",DES MOINES,WA,98198,2068240600,King,165,106.7,Medicare and Medicaid,3,2,4,4,4.66302,0.07993,142.667,0,1,1,1,9,5,25,12,6,,2,FP
14,335212,THE VILLAGES OF ORLEANS HEALTH AND REHAB CENTER,14012 ROUTE 31,ALBION,NY,14411,5855895637,Orleans,120,114.3,Medicare and Medicaid,1,1,2,1,3.51232,0.01526,54,2,8,1,1,7,9,22,3,5,,4,No
